department,bio_gdd_spring,hydric_precip_spring,stress_heat_days,stress_shock_days,risk_frost_april,risk_wet_harvest,risk_heavy_rain_july,bio_vernalization_days,bio_aridity_index,bio_compound_stress_days,datetime,year,log_time,pred_baseline,pred_anomaly,predicted_yield
Herault,2228.8804,0.00626945,16,1,0,0.0017973799,0,53,0.0002712165,16,2016-01-01,2016,3.5553480614894135,3.106181546368677,-0.21050567093823017,2.8956758754304466
Ille_et_Vilaine,2011.2762,0.008262943,11,1,3,0.00038711546,0,47,0.00037518976,11,2016-01-01,2016,3.5553480614894135,6.857435530427663,-0.0894550103496856,6.767980520077978
Indre,2139.8955,0.008239391,15,2,4,0.00053527707,0,47,0.0003669606,15,2016-01-01,2016,3.5553480614894135,6.633736477952715,-0.015641914490687248,6.618094563462027
Indre_et_Loire,2143.1462,0.004170755,14,2,4,0.00061939063,0,46,0.00018420881,14,2016-01-01,2016,3.5553480614894135,6.683925848952892,0.029697133890756913,6.713622982843649
Isere,1577.9746,0.0173755,0,0,16,0.0028990505,0,27,0.0009642925,0,2016-01-01,2016,3.5553480614894135,5.67952900096939,-0.19059287749089426,5.488936123478496
Jura,1876.3054,0.018071773,5,0,10,0.0024709147,0,41,0.0008818188,5,2016-01-01,2016,3.5553480614894135,6.045817054662347,-0.017434403205059616,6.028382651457288
Landes,2374.6548,0.011227466,21,5,0,0.0011032216,0,38,0.00045747784,21,2016-01-01,2016,3.5553480614894135,5.039036804408482,0.043359655941624796,5.0823964603501075
Loir_et_Cher,2089.8218,0.0043792613,14,2,4,0.0006655499,0,47,0.00019623221,14,2016-01-01,2016,3.5553480614894135,7.169620020316942,0.03003727728305539,7.199657297599997
Loire,1778.7999,0.004812195,3,0,10,0.00077745516,0,41,0.00024520175,3,2016-01-01,2016,3.5553480614894135,5.712910415112251,-0.0815361318768872,5.631374283235364
Loire_Atlantique,2086.9583,0.0066621206,14,1,2,0.00038154106,0,49,0.00029304533,14,2016-01-01,2016,3.5553480614894135,6.283534139005702,-0.09024382006068765,6.193290318945014
Loiret,2075.946,0.008647593,11,0,6,0.00061856926,0,45,0.00039039002,11,2016-01-01,2016,3.5553480614894135,7.086985030854521,-0.029437244429291725,7.057547786425229
Lot,2137.4285,0.0070916754,13,1,6,0.00077845156,0,49,0.00031903808,13,2016-01-01,2016,3.5553480614894135,4.579678424914646,-0.14931706234468214,4.430361362569964
Lot_et_Garonne,2391.0923,0.0047042877,24,7,0,0.00045805104,0,48,0.00019478076,24,2016-01-01,2016,3.5553480614894135,5.678459046889792,0.07213636032248136,5.750595407212273
Lozere,1617.0577,0.0103066815,0,0,15,0.0018172917,0,40,0.0005652983,0,2016-01-01,2016,3.5553480614894135,3.4659890005942127,-0.11385609540041311,3.3521329051937996
Maine_et_Loire,2129.9863,0.011149552,17,2,3,0.001180596,0,47,0.00049154914,17,2016-01-01,2016,3.5553480614894135,6.5971034225910445,0.0839774468210334,6.681080869412078
Manche,1846.1774,0.009543597,6,0,2,0.00073658954,0,51,0.00043934534,6,2016-01-01,2016,3.5553480614894135,6.260285653895373,-0.0169470859527693,6.243338567942604
Marne,1966.1431,0.01496398,7,0,8,0.0012409132,0,39,0.0007010509,7,2016-01-01,2016,3.5553480614894135,8.230077996708928,-0.05324811807316831,8.17682987863576
Mayenne,1977.3461,0.006189806,12,1,3,0.00028401136,0,49,0.0002846067,12,2016-01-01,2016,3.5553480614894135,6.714887166525003,-0.14096182542379837,6.573925341101204
Meurthe_et_Moselle,1883.917,0.010551423,3,0,12,0.0017914117,0,35,0.0005103365,3,2016-01-01,2016,3.5553480614894135,7.026051476256125,0.04166135041624711,7.0677128266723726
Meuse,1869.1299,0.01603621,2,0,11,0.002209581,0,38,0.00077612454,2,2016-01-01,2016,3.5553480614894135,6.790682751901694,0.023564404846648745,6.814247156748343
Morbihan,1935.2395,0.004878108,6,1,0,0.0004466307,0,51,0.00021847985,6,2016-01-01,2016,3.5553480614894135,6.8669120081001624,-0.012311707945450244,6.854600300154712
Moselle,1898.3726,0.009921115,4,0,13,0.0014064033,0,33,0.00047802416,4,2016-01-01,2016,3.5553480614894135,6.938786874722239,-0.001739008944036612,6.937047865778203
Nievre,1967.4498,0.01077128,7,0,7,0.0014453903,0,45,0.00050929975,7,2016-01-01,2016,3.5553480614894135,6.623980832868843,-0.2332136896980884,6.390767143170755
Nord,1822.3502,0.017625505,5,0,6,0.0018101828,0,38,0.0008458019,5,2016-01-01,2016,3.5553480614894135,7.744798193336556,-0.0873182944821342,7.6574798988544215
Oise,1924.8931,0.015572302,9,0,8,0.0017294838,0,40,0.0007286529,9,2016-01-01,2016,3.5553480614894135,7.760902802036213,-0.052930315241404326,7.707972486794809
Orne,1843.8954,0.011233662,7,0,4,0.00073877536,0,46,0.00053743506,7,2016-01-01,2016,3.5553480614894135,7.160528781874353,-0.030803236488299066,7.129725545386054
Pas_de_Calais,1813.4438,0.011556477,5,0,5,0.0015515361,0,40,0.0005541416,5,2016-01-01,2016,3.5553480614894135,7.923842082251389,-0.1084464195254018,7.8153956627259875
Puy_de_Dome,1758.7024,0.009714248,4,0,12,0.0017595966,0,44,0.0005024043,4,2016-01-01,2016,3.5553480614894135,5.906145563892623,-0.14088800464700263,5.7652575592456206
Pyrenees_Atlantiques,2090.4683,0.008382425,12,1,2,0.00073578855,0,48,0.00038212887,12,2016-01-01,2016,3.5553480614894135,5.3028372000384625,0.05662652224959317,5.359463722288056
Pyrenees_Orientales,2155.063,0.0036781335,11,0,0,0.00095833105,0,53,0.00015891124,11,2016-01-01,2016,3.5553480614894135,2.3695460863463915,-0.06555645867878018,2.3039896276676113
